,alias,country_blacklist,country_whitelist,parents,title
91,autoelectric,,"['IT', 'BR', 'CZ', 'MX', 'PT', 'CL', 'ES', 'AR']",['auto'],Auto Electric Services
92,autoglass,['ES'],,['auto'],Auto Glass Services
93,autoinsurance,"['PH', 'DE', 'IE', 'FR', 'MY', 'GB', 'HK', 'CA', 'CH', 'SG', 'TW', 'AT', 'NZ', 'FI']",,['insurance'],Auto Insurance
94,autoloanproviders,,"['PH', 'GB', 'CA', 'CZ', 'SG', 'BE', 'US', 'PL', 'PT', 'AU', 'IE', 'MY', 'IT', 'NL', 'NZ', 'TR']",['auto'],Auto Loan Providers
95,autopartssupplies,,,['auto'],Auto Parts & Supplies
96,autorepair,,,['auto'],Auto Repair
97,autosecurity,['FR'],,['auto'],Auto Security
98,autoupholstery,,,['auto'],Auto Upholstery
99,auvergnat,,['FR'],['french'],Auvergnat
100,aviationservices,,,['auto'],Aviation Services
101,awnings,,,['localservices'],Awnings
102,axethrowing,,"['CA', 'GB', 'US']",['active'],Axe Throwing
103,ayurveda,,,['health'],Ayurveda
104,azores,,['PT'],['portuguese'],Azores
105,baby_gear,,,['shopping'],Baby Gear & Furniture
106,backflowservices,,['US'],['plumbing'],Backflow Services
107,backshop,,"['CH', 'DE', 'AT']",['food'],Backshop
108,baden,,['DE'],['german'],Baden
109,badminton,"['SG', 'PL', 'BR', 'NZ']",,['active'],Badminton
110,bagels,"['AU', 'ES']",,['food'],Bagels
111,baguettes,,"['NO', 'DE', 'IT', 'CZ', 'MX', 'SE', 'PT', 'TR']",['restaurants'],Baguettes
112,bailbondsmen,,"['US', 'PT']",['localservices'],Bail Bondsmen
113,bakeries,,,['food'],Bakeries
114,balloonservices,,"['IE', 'DE', 'GB', 'CA', 'BR', 'CH', 'SG', 'BE', 'US', 'NL', 'PL', 'AT', 'NZ', 'AU']",['eventservices'],Balloon Services
115,bangladeshi,"['MX', 'DK', 'PT', 'TR', 'ES']",,['restaurants'],Bangladeshi
116,bankruptcy,,,['lawyers'],Bankruptcy Law
117,banks,,,['financialservices'],Banks & Credit Unions
118,barbers,,,['beautysvc'],Barbers
119,barcrawl,,"['DE', 'CH', 'CZ', 'MX', 'US', 'PL', 'AT', 'AU', 'AR']",['nightlife'],Bar Crawl
120,barreclasses,,"['NO', 'IE', 'DK', 'GB', 'CA', 'CZ', 'BE', 'US', 'NL', 'NZ', 'PT', 'FI', 'AU']",['fitness'],Barre Classes
121,bars,,,['nightlife'],Bars
122,bartenders,"['PH', 'NO', 'IE', 'MY', 'GB', 'HK', 'CH', 'SG', 'JP', 'TW', 'PL', 'AT', 'NZ', 'FI', 'TR']",,['eventservices'],Bartenders
123,bartendingschools,,,['specialtyschools'],Bartending Schools
124,baseballfields,['FR'],,['active'],Baseball Fields
125,basketballcourts,"['IE', 'SE', 'NL', 'GB', 'PL', 'CA', 'BR']",,['active'],Basketball Courts
126,basque,"['DK', 'PT', 'CZ', 'SG', 'AU', 'TR']",,['restaurants'],Basque
127,bathing_area,,"['NO', 'DE', 'DK', 'CH', 'CZ', 'JP', 'SE', 'AT', 'PT', 'FI']",['active'],Bathing Area
128,batterystores,['CZ'],,['shopping'],Battery Stores
129,battingcages,,"['SG', 'JP', 'TW', 'US']",['active'],Batting Cages
130,bavarian,,"['CH', 'DE', 'AT']",['restaurants'],Bavarian
131,bbq,"['AU', 'BR']",,['restaurants'],Barbeque
132,beachbars,"['PH', 'IE', 'MY', 'GB', 'HK', 'CA', 'CZ', 'JP', 'BE', 'TW', 'US', 'PL', 'NZ', 'FI', 'TR']",,['bars'],Beach Bars
133,beachequipmentrental,,,['active'],Beach Equipment Rentals
134,beaches,,,['active'],Beaches
