,alias,country_blacklist,country_whitelist,parents,title
348,craneservices,"['PH', 'FR', 'MY', 'HK', 'JP', 'TW', 'FI', 'TR']",,['localservices'],Crane Services
349,cremationservices,['TR'],,['funeralservices'],Cremation Services
350,creperies,,,['restaurants'],Creperies
351,criminaldefense,,,['lawyers'],Criminal Defense Law
352,crisispregnancycenters,,['US'],['health'],Crisis Pregnancy Centers
353,cryotherapy,,"['IT', 'US']",['health'],Cryotherapy
354,csa,,"['DE', 'FR', 'US', 'AT', 'CH']",['food'],CSA
355,cuban,"['SG', 'TR', 'DK']",,['restaurants'],Cuban
356,cucinacampana,,['IT'],['italian'],Cucina campana
357,culturalcenter,"['IE', 'CA', 'TR', 'NZ']",,['arts'],Cultural Center
358,cupcakes,"['CZ', 'CA', 'TR', 'ES']",,['food'],Cupcakes
359,currencyexchange,,,['financialservices'],Currency Exchange
360,currysausage,,"['CH', 'DE', 'AT']",['restaurants'],Curry Sausage
361,customcakes,"['CH', 'DE', 'FR', 'AT']",,['food'],Custom Cakes
362,custommerchandise,,,['shopping'],Customized Merchandise
363,customsbrokers,,,['professional'],Customs Brokers
364,cyclingclasses,"['IE', 'MX', 'NZ', 'PT', 'CA', 'BR', 'AR']",,['active'],Cycling Classes
365,cypriot,,"['CH', 'DE', 'AT']",['restaurants'],Cypriot
366,czech,,"['NO', 'DE', 'IE', 'FR', 'DK', 'IT', 'GB', 'CA', 'CZ', 'BE', 'SE', 'US', 'PL', 'FI', 'AU']",['restaurants'],Czech
367,czechslovakian,,"['PT', 'MX', 'AR']",['restaurants'],Czech/Slovakian
368,dagashi,,['JP'],['gourmet'],Dagashi
369,damagerestoration,,"['US', 'PT', 'NZ', 'CA', 'SG', 'AU', 'TR']",['homeservices'],Damage Restoration
370,dance_schools,,,['specialtyschools'],Dance Schools
371,danceclubs,,,['nightlife'],Dance Clubs
372,dancerestaurants,,['FI'],['nightlife'],Dance Restaurants
373,dancestudio,,,['fitness'],Dance Studios
374,dancewear,,,['sportswear'],Dance Wear
375,danish,,"['NO', 'FR', 'DK', 'SE']",['restaurants'],Danish
376,dartarenas,,"['DE', 'US', 'PL', 'AT', 'CH']",['active'],Dart Arenas
377,datarecovery,"['PH', 'TW', 'MY', 'NL', 'HK', 'FI', 'JP']",,['itservices'],Data Recovery
378,daycamps,"['MX', 'HK', 'CL', 'JP', 'AR']",,['active'],Day Camps
379,debtrelief,,"['CA', 'US']",['financialservices'],Debt Relief Services
380,decksrailing,,,['homeservices'],Decks & Railing
381,delicatessen,['US'],,['food'],Delicatessen
382,delis,"['FR', 'SE', 'NL', 'IT', 'PT', 'CL', 'BE']",,['restaurants'],Delis
383,demolitionservices,,"['NO', 'DE', 'DK', 'IT', 'BR', 'CH', 'CZ', 'BE', 'US', 'NL', 'PL', 'AT', 'PT', 'AU', 'ES']",['homeservices'],Demolition Services
384,dentalhygeiniststorefront,,['CA'],['dentalhygienists'],Storefront Clinics
385,dentalhygienists,,"['NO', 'DE', 'DK', 'US', 'NL', 'PT', 'CA']",['health'],Dental Hygienists
386,dentalhygienistsmobile,,['CA'],['dentalhygienists'],Mobile Clinics
387,dentists,,,['health'],Dentists
388,departmentsofmotorvehicles,"['FR', 'BE']",,['publicservicesgovt'],Departments of Motor Vehicles
389,deptstores,,,"['shopping', 'fashion']",Department Stores
390,dermatology,,,['physicians'],Dermatologists
391,desserts,,,['food'],Desserts
392,diagnosticimaging,,"['IE', 'FR', 'GB', 'CA', 'BR', 'MX', 'US', 'PT', 'CL', 'AU', 'ES', 'AR']",['diagnosticservices'],Diagnostic Imaging
393,diagnosticservices,,,['health'],Diagnostic Services
394,dialysisclinics,,"['IT', 'BR', 'MX', 'US', 'PT', 'CL', 'TR', 'ES', 'AR']",['health'],Dialysis Clinics
395,diamondbuyers,,,['shopping'],Diamond Buyers
396,dietitians,,,['health'],Dietitians
397,digitizingservices,,"['NO', 'BR', 'DK', 'US']",['professional'],Digitizing Services
398,dimsum,"['TR', 'BR', 'PT']",,['chinese'],Dim Sum
399,diners,"['CZ', 'AU', 'FI', 'SE']",,['restaurants'],Diners
400,dinnertheater,"['FR', 'NL', 'IT', 'JP', 'BE']",,['restaurants'],Dinner Theater
401,disabilitylaw,,,['lawyers'],Disability Law
402,discgolf,"['SG', 'AU', 'DK']",,['active'],Disc Golf
403,discountstore,,,['shopping'],Discount Store
404,distilleries,,,['food'],Distilleries
405,divebars,"['FR', 'NL', 'IT', 'CZ', 'AU', 'BE']",,['bars'],Dive Bars
406,diveshops,,"['DE', 'IT', 'BR', 'CH', 'JP', 'MX', 'US', 'AT', 'NZ', 'CL', 'AU', 'ES', 'AR']",['sportgoods'],Dive Shops
407,diving,,,['active'],Diving
408,divorce,,,['lawyers'],Divorce & Family Law
409,diyautoshop,,"['DE', 'US', 'AT', 'PT', 'CH', 'AU']",['autorepair'],DIY Auto Shop
410,diyfood,"['DE', 'FR', 'IT', 'CH', 'CZ', 'MX', 'SE', 'AT', 'NZ', 'CL', 'FI', 'ES']",,['food'],Do-It-Yourself Food
411,djs,,,['eventservices'],DJs
412,dog_parks,,,['parks'],Dog Parks
413,dogwalkers,,,['petservices'],Dog Walkers
414,dolmusstation,,['TR'],['transport'],Dolmus Station
415,dominican,,['US'],['caribbean'],Dominican
416,donairs,,"['FR', 'DK', 'PL', 'CA', 'CZ', 'TR', 'BE']",['food'],Donairs
417,donationcenter,,"['NO', 'DE', 'DK', 'BR', 'CH', 'BE', 'US', 'NL', 'AT', 'ES']",['localservices'],Donation Center
418,donburi,,"['HK', 'JP', 'TW']",['japanese'],Donburi
419,donuts,['ES'],,['food'],Donuts
420,doorsales,"['PH', 'NO', 'JP', 'SE', 'TW', 'CL', 'FI', 'IE', 'FR', 'DK', 'MY', 'HK', 'MX', 'TR', 'ES', 'AR']",,['homeservices'],Door Sales/Installation
421,doulas,,"['FR', 'US', 'IT', 'PT', 'CA', 'CZ', 'BE']",['health'],Doulas
422,dramaschools,,,['specialtyschools'],Drama Schools
423,driedfruit,,"['HK', 'BR', 'CZ', 'JP', 'MX', 'SE', 'TW', 'PL', 'CL', 'TR', 'ES', 'AR']",['gourmet'],Dried Fruit
424,driveintheater,"['MX', 'FR', 'PL', 'CL', 'AR']",,['movietheaters'],Drive-In Theater
425,drivethrubars,,['US'],['bars'],Drive-Thru Bars
426,driving_schools,,,['specialtyschools'],Driving Schools
427,drones,,,['shopping'],Drones
428,drugstores,"['NO', 'FR', 'DK', 'MX', 'SE', 'CL', 'TR', 'AR']",,['shopping'],Drugstores
429,dryclean,,,['laundryservices'],Dry Cleaning
430,drywall,"['HK', 'JP']",,['homeservices'],Drywall Installation & Repair
431,duilawyers,,"['DE', 'CA', 'US']",['lawyers'],DUI Law
432,duischools,,['US'],['specialtyschools'],DUI Schools
433,dumplings,,"['DE', 'IE', 'GB', 'CA', 'CH', 'SG', 'JP', 'BE', 'NL', 'PL', 'AT', 'NZ', 'AU']",['restaurants'],Dumplings
434,dumpsterrental,,"['PH', 'NO', 'GB', 'CA', 'SG', 'BE', 'US', 'PL', 'AT', 'AU', 'IE', 'DE', 'DK', 'MY', 'HK', 'CH', 'NL', 'NZ']",['junkremovalandhauling'],Dumpster Rental
435,duplicationservices,,['US'],['professional'],Duplication Services
436,dutyfreeshops,,,['shopping'],Duty-Free Shops
437,earnosethroat,,,['physicians'],Ear Nose & Throat
438,eastern_european,,"['NO', 'FR', 'DK', 'CZ', 'AU']",['restaurants'],Eastern European
439,easterngerman,,['DE'],['german'],Eastern German
440,easternmexican,,['MX'],['mexican'],Eastern Mexican
441,eatertainment,,"['DE', 'US', 'NL', 'AT', 'BR', 'CH', 'BE']",['arts'],Eatertainment
442,editorialservices,,"['PH', 'NO', 'GB', 'CA', 'BR', 'SG', 'BE', 'US', 'PL', 'AT', 'PT', 'CL', 'AU', 'DE', 'IE', 'FR', 'DK', 'MY', 'IT', 'CH', 'MX', 'NL', 'NZ', 'ES', 'AR']",['professional'],Editorial Services
443,education,,,[],Education
444,educationservices,['BR'],,['education'],Educational Services
445,egyptian,,"['FR', 'US', 'IT', 'CA', 'BE']",['mideastern'],Egyptian
446,eldercareplanning,,,['localservices'],Elder Care Planning
447,elderlaw,,"['DE', 'BR', 'CH', 'US', 'PL', 'AT', 'PT', 'TR']",['lawyers'],Elder Law
448,electricians,,,['homeservices'],Electricians
449,electricitysuppliers,,,['utilities'],Electricity Suppliers
450,electronics,,,['shopping'],Electronics
451,electronicsrepair,,,['localservices'],Electronics Repair
452,elementaryschools,,,['education'],Elementary Schools
453,elevatorservices,"['PH', 'FR', 'MY', 'CZ', 'JP', 'MX', 'CL', 'FI', 'AR']",,['localservices'],Elevator Services
454,eltern_cafes,,"['CH', 'DE', 'AT']","['restaurants', 'food']",Parent Cafes
455,embassy,['TR'],,['publicservicesgovt'],Embassy
456,embroideryandcrochet,,,['artsandcrafts'],Embroidery & Crochet
457,emergencymedicine,,,['physicians'],Emergency Medicine
458,emergencypethospital,,,['petservices'],Emergency Pet Hospital
459,emergencyrooms,,,['health'],Emergency Rooms
460,emilian,,['IT'],['italian'],Emilian
461,empanadas,,"['CL', 'US', 'ES', 'AR']",['food'],Empanadas
462,employmentagencies,,,['professional'],Employment Agencies
463,employmentlawyers,,,['lawyers'],Employment Law
464,emstraining,,"['DE', 'SE', 'AT', 'CH', 'ES']",['fitness'],EMS Training
465,endocrinologists,"['IE', 'GB', 'HK', 'CA', 'SG', 'JP', 'SE', 'TW', 'PL', 'NZ', 'FI', 'AU']",,['physicians'],Endocrinologists
466,endodontists,['CZ'],,['dentists'],Endodontists
467,engraving,,,['localservices'],Engraving
468,entertainmentlaw,,['US'],['lawyers'],Entertainment Law
469,enviroabatement,,,['localservices'],Environmental Abatement
470,environmentaltesting,,"['NO', 'IE', 'DK', 'GB', 'CA', 'SG', 'BE', 'US', 'NL', 'NZ', 'FI', 'AU']",['localservices'],Environmental Testing
471,eritrean,,"['DE', 'US', 'IT', 'AT', 'CH']",['restaurants'],Eritrean
472,eroticmassage,"['PH', 'NO', 'DK', 'MY', 'HK', 'JP', 'SE', 'TW', 'US', 'CL', 'FI', 'TR']",,['beautysvc'],Erotic Massage
473,escapegames,,,['active'],Escape Games
474,estateliquidation,['CZ'],,['realestate'],Estate Liquidation
475,estatephotography,"['IT', 'JP']",,['realestatesvcs'],Real Estate Photography
476,estateplanning,"['NO', 'SE']",,['lawyers'],Estate Planning Law
477,estheticians,,,['skincare'],Estheticians
478,ethicgrocery,"['PH', 'DE', 'FR', 'MY', 'CH', 'CZ', 'JP', 'BE', 'US', 'NL', 'AT', 'TR']",,['food'],Ethical Grocery
479,ethiopian,"['TR', 'CZ', 'SG', 'MX']",,['restaurants'],Ethiopian
480,evchargingstations,,,['auto'],EV Charging Stations
481,eventphotography,,,['photographers'],Event Photography
482,eventplanning,,,['eventservices'],Party & Event Planning
483,eventservices,,,[],Event Planning & Services
484,excavationservices,,,['homeservices'],Excavation Services
485,experiences,,"['NO', 'DE', 'SE', 'DK', 'PT', 'CZ']",['active'],Experiences
486,eyebrowservices,,,['beautysvc'],Eyebrow Services
487,eyelashservice,['IT'],,['beautysvc'],Eyelash Service
488,fabricstores,,,['artsandcrafts'],Fabric Stores
489,facepainting,"['PH', 'SG', 'JP', 'SE', 'TW', 'PL', 'CL', 'FI', 'FR', 'MY', 'IT', 'HK', 'MX', 'TR', 'ES', 'AR']",,['eventservices'],Face Painting
490,fado_houses,,['PT'],['portuguese'],Fado Houses
491,faithbasedcpc,,['US'],['crisispregnancycenters'],Faith-based Crisis Pregnancy Centers
492,falafel,"['PT', 'MX', 'AR']",,['mediterranean'],Falafel
493,familydr,['BR'],,['physicians'],Family Practice
494,farmequipmentrepair,,,['localservices'],Farm Equipment Repair
495,farmersmarket,,,['food'],Farmers Market
496,farmingequipment,,,['shopping'],Farming Equipment
497,farms,,,['arts'],Farms
498,farriers,,,['petservices'],Farriers
499,fashion,,,['shopping'],Fashion
500,fasil,,['TR'],['nightlife'],Fasil Music
501,fencesgates,,,['homeservices'],Fences & Gates
502,fencing,,,['active'],Fencing Clubs
503,fengshui,,,['professional'],Feng Shui
504,ferries,,,['transport'],Ferries
505,fertility,,,['physicians'],Fertility
506,festivals,,,['arts'],Festivals
507,filipino,"['CZ', 'TR', 'FI', 'DK']",,['restaurants'],Filipino
508,financialadvising,,,['financialservices'],Financial Advising
509,financialservices,,,[],Financial Services
510,fingerprinting,,['US'],['localservices'],Fingerprinting
511,firearmtraining,,['US'],['specialtyschools'],Firearm Training
512,firedepartments,"['IE', 'GB', 'NZ', 'CA', 'SG']",,['publicservicesgovt'],Fire Departments
513,fireplace,,,['homeservices'],Fireplace Services
514,fireprotection,,,['homeservices'],Fire Protection Services
515,firewood,"['PH', 'MY', 'HK', 'CZ', 'JP', 'BE', 'TW', 'NL', 'TR']",,['homeservices'],Firewood
516,fireworks,,"['GB', 'CA', 'CZ', 'MX', 'US', 'NZ', 'PT', 'CL', 'AU', 'AR']",['shopping'],Fireworks
517,firstaidclasses,"['IE', 'FR', 'NL', 'NZ', 'BR', 'SG', 'BE']",,['specialtyschools'],First Aid Classes
518,fischbroetchen,,['DE'],['restaurants'],Fischbroetchen
519,fishing,,,['active'],Fishing
520,fishmonger,,"['NO', 'DE', 'DK', 'IT', 'CH', 'CZ', 'BE', 'SE', 'NL', 'PL', 'AT', 'PT', 'FI', 'AU']",['food'],Fishmonger
521,fishnchips,"['BR', 'PT']",,['restaurants'],Fish & Chips
522,fitness,,,['active'],Fitness & Instruction
523,fitnessequipment,,,['shopping'],Fitness/Exercise Equipment
524,flatbread,,"['DE', 'DK', 'PL', 'AT', 'CH']",['restaurants'],Flatbread
525,fleamarkets,,,['shopping'],Flea Markets
526,flemish,,['FR'],['belgian'],Flemish
527,flightinstruction,,,['specialtyschools'],Flight Instruction
528,floatspa,"['IT', 'JP', 'FR']",,['health'],Float Spa
529,flooring,,,['homeservices'],Flooring
530,floraldesigners,['FR'],,['eventservices'],Floral Designers
531,florists,,,['flowers'],Florists
532,flowers,,,['shopping'],Flowers & Gifts
533,flyboarding,,,['active'],Flyboarding
534,fondue,"['CZ', 'ES', 'DK']",,['restaurants'],Fondue
535,food,,,[],Food
536,food_court,"['TR', 'FR', 'FI', 'TW']",,['restaurants'],Food Court
537,foodbanks,,,['nonprofit'],Food Banks
538,fooddeliveryservices,,,['food'],Food Delivery Services
539,foodsafety,,"['SG', 'US', 'BR', 'PT']",['specialtyschools'],Food Safety Training
540,foodstands,,,['restaurants'],Food Stands
541,foodtours,,,['tours'],Food Tours
542,foodtrucks,['SG'],,['food'],Food Trucks
543,football,,,['active'],Soccer
544,footcare,,"['PH', 'DE', 'IE', 'MY', 'IT', 'GB', 'CA', 'CH', 'SG', 'JP', 'BE', 'NL', 'AT', 'NZ', 'AU']",['beautysvc'],Foot Care
545,forestry,,"['NO', 'SE', 'DK', 'CA', 'FI', 'CZ']",['localservices'],Forestry
546,formalwear,"['PH', 'MY', 'IT', 'HK', 'CH', 'JP', 'SE', 'TW', 'FI', 'TR']",,['fashion'],Formal Wear
547,foundationrepair,"['CH', 'DE', 'AT']",,['homeservices'],Foundation Repair
548,framing,,,['artsandcrafts'],Framing
549,franconian,,['DE'],['german'],Franconian
550,freediving,,,['diving'],Free Diving
551,freiduria,,"['CL', 'MX', 'ES', 'AR']",['restaurants'],Freiduria
552,french,,,['restaurants'],French
553,friterie,,"['FR', 'NL', 'IT', 'PL', 'AU', 'BE']",['food'],Friterie
554,friulan,,['IT'],['italian'],Friulan
555,frozenfood,,"['FR', 'IT', 'GB', 'SG', 'ES', 'BE']",['gourmet'],Frozen Food
556,fueldocks,,"['NO', 'MX', 'SE', 'DK', 'US', 'ES']",['auto'],Fuel Docks
557,funeralservices,,,['localservices'],Funeral Services & Cemeteries
558,funfair,,"['NO', 'DE', 'DK', 'CH', 'CZ', 'BE', 'NL', 'AT', 'PT']",['festivals'],Fun Fair
559,furclothing,,,['fashion'],Fur Clothing
560,furniture,,,['homeandgarden'],Furniture Stores
561,furnitureassembly,['CZ'],,['homeservices'],Furniture Assembly
562,furniturerepair,,,['localservices'],Furniture Repair
563,fuzhou,,"['HK', 'SG', 'TW', 'MY']",['chinese'],Fuzhou
564,galician,,"['ES', 'PT']",['restaurants'],Galician
565,galleries,,,"['shopping', 'arts']",Art Galleries
566,gamemeat,"['PH', 'MY', 'HK', 'CA', 'BR', 'JP', 'MX', 'TW', 'PT', 'CL', 'FI', 'TR', 'AR']",,['restaurants'],Game Meat
567,gametruckrental,,"['MX', 'US', 'CL', 'CA', 'AR']",['eventservices'],Game Truck Rental
568,garage_door_services,"['PH', 'DE', 'MY', 'HK', 'CH', 'JP', 'SE', 'TW', 'PL', 'AT', 'CL', 'AR']",,['homeservices'],Garage Door Services
569,gardeners,,,['homeservices'],Gardeners
570,gardening,,,['homeandgarden'],Nurseries & Gardening
571,gardens,,,['arts'],Botanical Gardens
572,gastroenterologist,,,['physicians'],Gastroenterologist
573,gastropubs,,,['restaurants'],Gastropubs
574,gaybars,,,['bars'],Gay Bars
575,gelato,,"['PH', 'NO', 'DK', 'IT', 'CZ', 'SG', 'SE', 'US', 'PL', 'PT', 'AU']",['food'],Gelato
576,gemstonesandminerals,,,['shopping'],Gemstones & Minerals
577,general_litigation,,,['lawyers'],General Litigation
578,generaldentistry,,,['dentists'],General Dentistry
579,generalfestivals,,"['DE', 'AT', 'PT', 'CH', 'JP']",['festivals'],General Festivals
580,generatorinstallrepair,,['US'],['localservices'],Generator Installation/Repair
581,geneticists,,,['physicians'],Geneticists
582,georgian,,"['DE', 'GB', 'CH', 'CZ', 'US', 'PL', 'AT', 'FI']",['restaurants'],Georgian
583,german,,,['restaurants'],German
584,gerontologist,,,['physicians'],Gerontologists
585,gestorias,,"['CL', 'MX', 'ES', 'AR']",['localservices'],Gestorias
586,giblets,,['TR'],['restaurants'],Giblets
587,giftshops,"['TR', 'SG', 'PL']",,['flowers'],Gift Shops
588,glassandmirrors,['TR'],,['homeservices'],Glass & Mirrors
589,glassblowing,"['CH', 'DE', 'AT']",,['artclasses'],Glass Blowing
590,gliding,,"['NO', 'DE', 'FR', 'CH', 'CZ', 'SE', 'PL', 'AT', 'PT']",['active'],Gliding
591,gluhwein,,"['DE', 'SE', 'AT', 'CH', 'CZ']",['food'],Mulled Wine
592,gluten_free,,,['restaurants'],Gluten-Free
593,gokarts,,,['active'],Go Karts
594,goldbuyers,,"['DE', 'FR', 'IT', 'CA', 'BR', 'CH', 'BE', 'SE', 'US', 'NL', 'AT', 'PT', 'ES']",['shopping'],Gold Buyers
595,golf,,,['active'],Golf
596,golfcartdealers,,"['CA', 'US']",['auto'],Golf Cart Dealers
597,golfcartrentals,,['US'],['eventservices'],Golf Cart Rentals
598,golfequipment,,"['DE', 'US', 'NL', 'CA', 'AU', 'BE']",['sportgoods'],Golf Equipment
599,golflessons,"['PH', 'DE', 'IE', 'MY', 'HK', 'CA', 'BR', 'CH', 'SG', 'TW', 'AT', 'FI', 'TR']",,['fitness'],Golf Lessons
600,gourmet,,,['food'],Specialty Food
601,gozleme,,['TR'],['turkish'],Gozleme
602,graphicdesign,,,['professional'],Graphic Design
603,greek,,,['restaurants'],Greek
604,grillingequipment,,,['homeandgarden'],Grilling Equipment
605,grillservices,,"['DE', 'BR', 'CH', 'MX', 'US', 'PL', 'AT', 'PT', 'CL', 'ES', 'AR']",['localservices'],Grill Services
606,grocery,,,['food'],Grocery
607,groomer,,,['petservices'],Pet Groomers
608,groutservices,['FR'],,['homeservices'],Grout Services
609,guamanian,"['MX', 'FR', 'PL', 'CL', 'TR', 'JP', 'AR']",,['restaurants'],Guamanian
610,guesthouses,['SG'],,['hotelstravel'],Guest Houses
611,guitarstores,,,['musicinstrumentservices'],Guitar Stores
612,gun_ranges,"['CH', 'SG', 'AT', 'BE']",,['active'],Gun/Rifle Ranges
613,guns_and_ammo,,"['PH', 'DE', 'MY', 'CA', 'CH', 'MX', 'US', 'PL', 'AT', 'PT', 'CL', 'ES', 'AR']",['shopping'],Guns & Ammo
614,gunsmith,"['DE', 'HK', 'BR', 'CH', 'JP', 'BE', 'TW', 'NL', 'AT', 'TR']",,['localservices'],Gunsmith
615,gutterservices,"['MX', 'AR']",,['homeservices'],Gutter Services
616,gymnastics,,"['NO', 'DK', 'CA', 'BR', 'CZ', 'MX', 'US', 'NZ', 'PT']",['active'],Gymnastics
617,gyms,,,['fitness'],Gyms
618,gyudon,,['JP'],['donburi'],Gyudon
619,habilitativeservices,,,['health'],Habilitative Services
620,hainan,,"['PH', 'US', 'MY', 'HK', 'SG']",['chinese'],Hainan
621,hair,,,['beautysvc'],Hair Salons
622,hair_extensions,"['NL', 'PL', 'HK', 'TR', 'BE']",,"['hair', 'beautysvc']",Hair Extensions
623,hairloss,,,['beautysvc'],Hair Loss Centers
624,hairremoval,,,['beautysvc'],Hair Removal
625,hairstylists,,"['NO', 'GB', 'CA', 'CZ', 'SG', 'BE', 'SE', 'TW', 'US', 'PL', 'AT', 'PT', 'CL', 'AU', 'IE', 'DE', 'DK', 'HK', 'CH', 'MX', 'NL', 'ES', 'AR']",['hair'],Hair Stylists
626,haitian,,"['CA', 'US']",['caribbean'],Haitian
627,hakka,,"['PH', 'TW', 'MY', 'HK', 'CA', 'SG']",['chinese'],Hakka
628,halal,"['TR', 'PT']",,['restaurants'],Halal
629,halfwayhouses,,['US'],['health'],Halfway Houses
630,halotherapy,['FR'],,['health'],Halotherapy
631,handball,"['PH', 'GB', 'CA', 'CZ', 'SG', 'TW', 'US', 'PT', 'AU', 'DE', 'IE', 'MY', 'HK', 'MX', 'NZ', 'TR']",,['active'],Handball
632,handrolls,,"['BR', 'TW']",['japanese'],Hand Rolls
633,handyman,,,['homeservices'],Handyman
634,hanggliding,"['PH', 'DE', 'IE', 'DK', 'MY', 'GB', 'HK', 'CA', 'CZ', 'SG', 'TW', 'NL', 'PL', 'FI', 'TR']",,['active'],Hang Gliding
635,hardware,,,['homeandgarden'],Hardware Stores
636,hats,"['IE', 'GB', 'HK', 'CH', 'JP', 'SE', 'PL', 'AT', 'TR']",,['fashion'],Hats
637,hauntedhouses,,,['arts'],Haunted Houses
638,hawaiian,"['DK', 'PT', 'CZ', 'AU', 'TR']",,['restaurants'],Hawaiian
639,hawkercentre,,"['PH', 'MY', 'HK', 'SG', 'MX', 'TW', 'CL', 'AR']",['food'],Hawker Centre
640,hazardouswastedisposal,"['PH', 'DE', 'FR', 'MY', 'HK', 'BR', 'CH', 'CZ', 'JP', 'SE', 'AT', 'PT', 'TR']",,['localservices'],Hazardous Waste Disposal
641,headshops,,,['shopping'],Head Shops
642,health,,,[],Health & Medical
643,healthcoach,,,['health'],Health Coach
644,healthinsurance,,"['DE', 'FR', 'BR', 'CH', 'CZ', 'SG', 'BE', 'MX', 'US', 'PL', 'AT', 'NZ', 'PT', 'AU']",['health'],Health Insurance Offices
645,healthmarkets,,,['gourmet'],Health Markets
646,healthretreats,"['MX', 'AR']",,['hotelstravel'],Health Retreats
647,healthtrainers,,,['fitness'],Trainers
648,hearing_aids,,"['NO', 'DE', 'FR', 'DK', 'BR', 'CH', 'CZ', 'MX', 'PL', 'AT', 'PT', 'CL', 'FI', 'ES', 'AR']",['health'],Hearing Aids
649,hearingaidproviders,"['DE', 'HK', 'CH', 'CZ', 'JP', 'MX', 'SE', 'AT', 'CL', 'TR', 'ES', 'AR']",,['health'],Hearing Aid Providers
650,henghwa,,"['HK', 'SG', 'TW', 'MY']",['chinese'],Henghwa
651,hennaartists,,"['NO', 'DE', 'FR', 'DK', 'IT', 'CA', 'BR', 'CH', 'US', 'AT', 'NZ', 'AU']",['eventservices'],Henna Artists
652,hepatologists,,,['physicians'],Hepatologists
653,herbalshops,,,['health'],Herbal Shops
654,herbsandspices,,,['gourmet'],Herbs & Spices
655,hessian,,['DE'],['german'],Hessian
656,heuriger,,['AT'],['restaurants'],Heuriger
657,hifi,['CZ'],,['shopping'],High Fidelity Audio Equipment
658,highschools,,,['education'],Middle Schools & High Schools
659,hiking,,,['active'],Hiking
660,himalayan,,,['restaurants'],Himalayan/Nepalese
661,hindu_temples,,,['religiousorgs'],Hindu Temples
662,historicaltours,,,['tours'],Historical Tours
663,hkcafe,,"['HK', 'CA', 'TW', 'US']",['restaurants'],Hong Kong Style Cafe
664,hobbyshops,,,['shopping'],Hobby Shops
665,hockeyequipment,,,['sportgoods'],Hockey Equipment
666,hokkien,,"['HK', 'SG', 'TW', 'MY']",['chinese'],Hokkien
667,holidaydecorations,,,['homeandgarden'],Holiday Decorations
668,home_inspectors,,,['homeservices'],Home Inspectors
669,home_organization,,"['CA', 'US']",['homeservices'],Home Organization
670,homeandgarden,,,['shopping'],Home & Garden
671,homeappliancerepair,,,['localservices'],Appliances & Repair
672,homeautomation,,,['homeservices'],Home Automation
673,homecleaning,,,['homeservices'],Home Cleaning
674,homedecor,,,['homeandgarden'],Home Decor
675,homedevelopers,"['MX', 'IT', 'CL', 'BR', 'AR']",,['realestate'],Home Developers
676,homeenergyauditors,,"['PH', 'NO', 'GB', 'CA', 'SG', 'BE', 'SE', 'US', 'PL', 'AT', 'PT', 'FI', 'AU', 'DE', 'IE', 'FR', 'DK', 'MY', 'CH', 'NL', 'NZ', 'ES']",['homeservices'],Home Energy Auditors
677,homehealthcare,,,['health'],Home Health Care
678,homeinsurance,,,['insurance'],Home & Rental Insurance
679,homelessshelters,,['US'],['nonprofit'],Homeless Shelters
680,homemadefood,,['TR'],['turkish'],Homemade Food
681,homenetworkinstall,,"['NO', 'DE', 'DK', 'BR', 'CH', 'CZ', 'BE', 'SE', 'US', 'NL', 'AT', 'PT', 'FI', 'ES']",['homeservices'],Home Network Installation
682,homeopathic,"['IE', 'GB', 'HK', 'CA', 'SG', 'TW', 'US', 'NZ', 'AU', 'TR']",,['physicians'],Homeopathic
683,homeownerassociation,,"['CZ', 'PL', 'US']",['realestate'],Homeowner Association
684,homeservices,,,[],Home Services
685,homestaging,"['FR', 'PT', 'BR', 'CZ', 'ES']",,['realestate'],Home Staging
686,hometheatreinstallation,"['CZ', 'DK']",,['homeservices'],Home Theatre Installation
687,homewindowtinting,,"['IE', 'GB', 'CA', 'SG', 'BE', 'US', 'NL', 'PT', 'NZ', 'AU']",['homeservices'],Home Window Tinting
688,honduran,"['TR', 'JP']",,['restaurants'],Honduran
689,honey,,"['DE', 'FR', 'IT', 'SE', 'US', 'PL', 'FI', 'TR']",['food'],Honey
690,hookah_bars,"['SG', 'AU']",,['bars'],Hookah Bars
691,horse_boarding,,"['NO', 'DE', 'IE', 'FR', 'DK', 'GB', 'CA', 'CZ', 'SE', 'US', 'NZ', 'AU']",['pets'],Horse Boarding
692,horsebackriding,,,['active'],Horseback Riding
693,horsequipment,"['PH', 'MY', 'HK', 'CH', 'JP', 'TW', 'NZ', 'TR']",,['shopping'],Horse Equipment Shops
694,horseracing,"['PH', 'IE', 'FR', 'MY', 'IT', 'GB', 'CA', 'BR', 'SG', 'NZ']",,['active'],Horse Racing
695,horumon,,"['JP', 'TW']",['japanese'],Horumon
696,hospice,,,['health'],Hospice
697,hospitalists,"['DE', 'IT', 'AT', 'CH', 'TR', 'JP']",,['physicians'],Hospitalists
698,hospitals,,,['health'],Hospitals
699,hostels,,,['hotelstravel'],Hostels
700,hot_air_balloons,"['SG', 'CA', 'BR', 'NZ']",,['active'],Hot Air Balloons
701,hotdog,,,['restaurants'],Hot Dogs
702,hotdogs,,,['restaurants'],Fast Food
703,hotel_bar,,"['NO', 'SE', 'DK', 'PT', 'FI', 'BR']",['bars'],Hotel bar
704,hotels,,,"['eventservices', 'hotelstravel']",Hotels
705,hotelstravel,,,[],Hotels & Travel
